symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
BTCUSDT,sig_flow_cont,selection,60,2.5,854,-0.00020348649710921022,-0.0012034864971092105,-0.0011797155587884292,0.3255269320843091,-8.934720690653542
BTCUSDT,sig_flow_cont,holdout,60,2.5,408,-5.7008299129817054e-05,-0.0010570082991298174,-0.0009445439535051827,0.3235294117647059,-6.521248329848104
BTCUSDT,sig_lead_follow,selection,15,1.5,5421,1.3966110745829824e-05,-0.0009860338892541704,-0.000984293857439921,0.2945950931562442,-19.257236466728394
BTCUSDT,sig_lead_follow,holdout,15,1.5,2809,4.568936902068837e-06,-0.0009954310630979314,-0.0010409559921259462,0.27981488074047706,-18.776938507249334
BTCUSDT,sig_lead_follow,selection,15,2.0,2494,7.716941396771717e-05,-0.0009228305860322831,-0.0009238859607300634,0.3103448275862069,-10.201082546612902
BTCUSDT,sig_lead_follow,holdout,15,2.0,1249,5.5378290627119976e-05,-0.0009446217093728803,-0.0010244663754740415,0.2946357085668535,-11.08715941404852
BTCUSDT,sig_lead_follow,selection,15,2.5,1171,3.5949289120859724e-05,-0.0009640507108791406,-0.0009115308078811992,0.33134073441502987,-5.861217954790479
BTCUSDT,sig_lead_follow,holdout,15,2.5,568,0.0002957138883058343,-0.0007042861116941658,-0.0009445253549938961,0.3274647887323944,-4.8718698505486415
BTCUSDT,sig_lead_follow,selection,30,1.5,5421,0.00010195430096062038,-0.00089804569903938,-0.000923861391903257,0.35307138904261204,-13.699318560067843
BTCUSDT,sig_lead_follow,holdout,30,1.5,2809,-2.0910179887373763e-05,-0.001020910179887374,-0.0010929411217993614,0.327874688501246,-14.189550230045327
BTCUSDT,sig_lead_follow,selection,30,2.0,2494,0.00019347281982681996,-0.0008065271801731804,-0.0008584622650909526,0.3744987971130714,-7.33396625578127
BTCUSDT,sig_lead_follow,holdout,30,2.0,1249,5.232029970133698e-05,-0.0009476797002986633,-0.0010309473402870797,0.3434747798238591,-8.265166039929836
BTCUSDT,sig_lead_follow,selection,30,2.5,1171,8.796731129370864e-05,-0.0009120326887062916,-0.0008424715078901848,0.38941076003415886,-4.810596303765482
BTCUSDT,sig_lead_follow,holdout,30,2.5,568,0.00020123313882645756,-0.0007987668611735428,-0.0009178209711184762,0.36795774647887325,-4.379036943279107
BTCUSDT,sig_lead_follow,selection,60,1.5,5421,8.147736160029373e-05,-0.0009185226383997068,-0.0009204892486904806,0.387382401770891,-10.671644348870025
BTCUSDT,sig_lead_follow,holdout,60,1.5,2809,-9.350868960429508e-05,-0.0010935086896042953,-0.0010656482699672445,0.3791384834460662,-11.263507721120241
BTCUSDT,sig_lead_follow,selection,60,2.0,2494,0.00013356584552823224,-0.0008664341544717682,-0.0008225312673276744,0.4037690457097033,-6.193698618026213
BTCUSDT,sig_lead_follow,holdout,60,2.0,1249,6.194612881769455e-05,-0.0009380538711823058,-0.0009326382303137528,0.3955164131305044,-6.348296382872582
BTCUSDT,sig_lead_follow,selection,60,2.5,1171,5.88363366723487e-05,-0.0009411636633276519,-0.0007290180438636043,0.4227156276686593,-3.9760294256688424
BTCUSDT,sig_lead_follow,holdout,60,2.5,568,6.857313799363274e-05,-0.0009314268620063677,-0.0010183410899444736,0.4084507042253521,-3.989397666767664
